page,line,front,explanation
48,25,Daren't dare not / dared not,
48,26,Didn't did not,
48,27,Don't do not / does not [3],
48,28,Doesn't does not,
48,29,E'er ever,
49,1,Gonna going to,
49,2,Gotta got to,
49,3,Hadn't had not,
49,4,Hasn't has not,
49,5,You'll you shall / you will,
49,6,haven't have not,
49,7,he'd he had / he would,
49,8,he's he has / he is,
49,9,he'll he shall / he will,
49,10,how'd how did / how would,
49,11,how's how has / how is / how does,
49,12,how'll how will,
49,13,I'm I am,
49,14,I'm'a I am going to,
49,15,I'd I had / I would,
49,16,I've I have,
49,17,I'll I shall / I will,
49,18,isn't is not,
49,19,it's it has / it is,
49,20,'tis it is,
49,21,it'll it shall / it will,
49,22,'twas it was,
49,23,it'd it would,
49,24,let's let us,
49,25,ma'am madam,
49,26,may've may have,
49,27,mayn't may not,
49,28,might've might have,
49,29,mightn't might not,
50,1,must've must have,
50,2,mustn't must not,
50,3,needn't need not,
50,4,ne'er never,
50,5,noun'snoun is (possessive forms of many nouns are homographic to,
50,6,this contraction,
50,7,noun(s)'re noun(s) are (forms of many nouns are homographic to,
50,8,this contraction),
50,9,o'clock of the clock,
50,10,ol' old,
50,11,oughtn't ought not,
50,12,o'er over,
50,13,shan't shall not,
50,14,she'd she had / she would,
50,15,she's she has / she is,
50,16,she'll she shall / she will,
50,17,should've should have,
50,18,shouldn't should not,
50,19,somebody's somebody has / somebody is,
50,20,someone's someone has / someone is,
50,21,something's something has / something is,
50,22,that're that are,
50,23,that's that has / that is,
50,24,that'll that shall / that will,
50,25,that'd that would / that had,
50,26,there're there are,
50,27,there'd there had / there would,
50,28,there'sthere has / there is,
50,29,these're these are,
51,1,they're they are,
51,2,they'd they had / they would,
51,3,they've they have,
51,4,they'll they shall / they will,
51,5,this's this has / this is,
51,6,those're those are,
51,7,wasn't was not,
51,8,we're we are,
51,9,we'd we had / we would,
51,10,we've we have,
51,11,we'll we will,
51,12,we'd've we would have,
51,13,weren't were not,
51,14,what're what are,
51,15,what'd what did,
51,16,what's what has / what is / what does,
51,17,what've what have,
51,18,what'll what shall / what will,
51,19,when's when has / when is,
51,20,where're where are,
51,21,where'd where did,
51,22,where's where has / where is / where does,
51,23,where've where have,
51,24,which's which has / which is,
51,25,who're who are,
51,26,who's who has / who is / who does,
51,27,who've who have,
51,28,who'll who shall / who will,
51,29,who'd who would / who had / who did,
52,1,who'd've who would have,
52,2,why're why are,
52,3,why'd why did,
52,4,why's why has / why is / why does,
52,5,won't will not,
52,6,would've would have,
52,7,wouldn't would not,
52,8,y'all you all (colloquial),
52,9,you're you are,
52,10,you'd you had / you would,
52,11,you've you have,
